"FOUND","GEFUNDEN"
"If a product is %s in the catalog with %s of these conditions true:","Wenn ein Artikel im Katalog %s wurde, der %s der folgenden Bedingungen erfüllt:"
"Attribute Set","Attributset"
"Category","Kategorie"
"Product Type","Artikeltyp"
"Product Badges Configuration","Produkt Badges Konfiguration"
"Add New Badge","Neues Badge"
"Edit Badge '%s'","Bearbeite Badge '%s'"
"New Badge","Neues Badge"
"ID","ID"
"Badge Name","Badge Name"
"Preview","Vorschau"
"Date Start","Startdatum"
"Date End","Enddatum"
"Status","Status"
"Badge Information","Badge Informationen"
"Product Badge Config","Produkt Badge Konfiguration"
"Conditions","Bedingungen"
"Apply the badge only if the following conditions are met (leave blank for all products)","Das Badge nur anzeigen, wenn alle der folgenden Bedingungen zutreffen (frei lassen für alle Produkte)"
"General Information","Allgemeine Informationen"
"From Date","Startdatum"
"To Date","Enddatum"
"Visible In","Sichtbar in"
"Visualization Settings","Anzeige Einstellungen"
"Render Type","Darstellungstyp"
"Badge Image","Badge Bild"
"Badge Text","Badge Text"
"Text Color","Textfarbe"
"Background Color","Hintergrundfarbe"
"Font Family","Schriftart"
"Font Size","Schriftgröße"
"Render Container","Darstellungsbox"
"Conditions Combination","Bedingungskombination"
"Product Attribute","Artikelattribut"
"is newer than X days","ist neuer als X Tage"
"is exactly X days ago","ist exakt X Tage her"
"is older than X days","ist älter als X Tage"
"If","Wenn"
"Stock Status","Lagerbestand"
"This badge no longer exists.","Dieses Badge existiert nicht mehr."
"Edit Badge","Bearbeite Badge"
"Wrong badge specified.","Falsches Badge angegeben."
"The badge config for ""%s"" has been saved.","Die Badge Konfiguration für ""%s"" wurde gespeichert."
"An error occurred while saving the rule data. Please review the log and try again.","Beim Speichern der Regeldaten ist ein Fehler aufgetreten. Bitte sehen Sie in die Log-Aufzeichnung und probieren es erneut."
"Please, select ""Visible in Stores"" for this badge configuration first.","Bitte wählen Sie für diese Badge Konfiguration zuerst ""Sichtbar in Stores"" aus."
"Product Badges","Produkt Badges"
"General Settings","Allgemeine Einstellungen"
"Circle","Kreis"
"Rectangle","Rechteck"
"Image","Bild"
